SALE TYPE,PROPERTY TYPE,ADDRESS,COUNTY,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,DAYS ON MARKET,Price/Square Feet,STATUS,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,url
MLS Listing,Single Family Residential,50 N Midway St,Santa Clara,Campbell,CA,95008,2780000,4.0,2.0,CAMPBELL,2476.0,1.0,1123.0,Active,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769,MLSListings,ML81943672,N,Y,37.2878396,-121.9267558,6.0,1123.0,19656.0,74.0,Very bikeable,77.0,Very walkable,"Places2 groceries, 31 restaurants, 0 parksTransit25, 26, 56, 61, 64B, Event Green, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943672,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769
MLS Listing,Multi-Family (2-4 Unit),1407 San Tomas Aquino Pkwy,Santa Clara,San Jose,CA,95130,1848000,8.0,5.0,SAN JOSE,2764.0,1.0,669.0,Active,https://www.redfin.com/CA/San-Jose/1407-San-Tomas-Aquino-Pkwy-95130/home/1225945,MLSListings,ML81943671,N,Y,37.298514,-121.9632859,7.0,669.0,13067.0,80.0,Very bikeable,62.0,Somewhat walkable,"Places8 groceries, 29 restaurants, 0 parksTransit25, 26, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943671,https://www.redfin.com/CA/San-Jose/1407-San-Tomas-Aquino-Pkwy-95130/home/1225945
MLS Listing,Condo/Co-op,1734 Braddock Ct,Santa Clara,San Jose,CA,95125,668000,2.0,1.0,SAN JOSE,865.0,1.0,772.0,Active,https://www.redfin.com/CA/San-Jose/1734-Braddock-Ct-95125/home/982283,MLSListings,ML81943668,N,Y,37.294789,-121.923406,6.0,772.0,5223.0,64.0,Bikeable,65.0,Somewhat walkable,"Places4 groceries, 26 restaurants, 0 parksTransit25, 26, 56, 61, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943668,https://www.redfin.com/CA/San-Jose/1734-Braddock-Ct-95125/home/982283
MLS Listing,Single Family Residential,2279 MAXIMILIAN Dr,Santa Clara,Campbell,CA,95008,1749000,4.0,2.0,CAMPBELL,1486.0,1.0,1177.0,Active,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069,MLSListings,ML81943620,N,Y,37.279734,-121.966353,8.0,1177.0,12367.0,41.0,Somewhat bikeable,20.0,Car-dependent,"Places5 groceries, 23 restaurants, 4 parksTransit26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 29, 2023",Listed (Active)MLSListings #ML81943620,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069
MLS Listing,Single Family Residential,775 Harrison Ave,Santa Clara,Campbell,CA,95008,1798000,4.0,2.0,CAMPBELL,1575.0,2.0,1142.0,Active,https://www.redfin.com/CA/Campbell/775-Harrison-Ave-95008/home/1429442,MLSListings,ML81943503,N,Y,37.2983342,-121.9427559,6.0,1142.0,12713.0,70.0,Very bikeable,61.0,Somewhat walkable,"Places5 groceries, 27 restaurants, 3 parksTransit25, 26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, SCVMC, SCVMC Shuttle","Sep 28, 2023",Listed (Active)MLSListings #ML81943503,https://www.redfin.com/CA/Campbell/775-Harrison-Ave-95008/home/1429442
MLS Listing,Single Family Residential,78 Cherry Ln,Santa Clara,Campbell,CA,95008,1698000,3.0,2.0,CAMPBELL,1630.0,2.0,1042.0,Active,https://www.redfin.com/CA/Campbell/78-Cherry-Ln-95008/home/755657,MLSListings,ML81943500,N,Y,37.2833394,-121.9512439,8.0,1042.0,12006.0,81.0,Very bikeable,88.0,Very walkable,"Places2 groceries, 20 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943500,https://www.redfin.com/CA/Campbell/78-Cherry-Ln-95008/home/755657
MLS Listing,Condo/Co-op,2867 S Bascom Ave #603,Santa Clara,Campbell,CA,95008,579900,1.0,1.0,CAMPBELL,668.0,2.0,868.0,Active,https://www.redfin.com/CA/San-Jose/2867-S-Bascom-Ave-95124/unit-603/home/1333723,MLSListings,ML81943448,N,Y,37.270604,-121.938345,8.0,868.0,4580.0,77.0,Very bikeable,82.0,Very walkable,"Places2 groceries, 34 restaurants, 0 parksTransit26, 27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943448,https://www.redfin.com/CA/San-Jose/2867-S-Bascom-Ave-95124/unit-603/home/1333723
MLS Listing,Townhouse,425 Robin Ridge Way,Santa Clara,Campbell,CA,95008,1775000,4.0,3.5,CAMPBELL,2159.0,2.0,822.0,Active,https://www.redfin.com/CA/Campbell/425-Robin-Ridge-Way-95008/home/160939599,MLSListings,ML81942863,N,Y,37.2838734,-121.9421482,6.0,822.0,12812.0,72.0,Very bikeable,89.0,Very walkable,"Places4 groceries, 30 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81942863,https://www.redfin.com/CA/Campbell/425-Robin-Ridge-Way-95008/home/160939599
MLS Listing,Single Family Residential,2033 Woodglen Dr,Santa Clara,San Jose,CA,95130,2098000,4.0,2.5,SAN JOSE,2256.0,2.0,930.0,Active,https://www.redfin.com/CA/San-Jose/2033-Woodglen-Dr-95130/home/2122032,MLSListings,ML81943422,N,Y,37.2852165,-121.9847451,7.0,930.0,14919.0,75.0,Very bikeable,76.0,Very walkable,"Places2 groceries, 25 restaurants, 1 parkTransit25, 26, 27, 37, 56, 57, Express 101","Sep 28, 2023",Listed (Active)MLSListings #ML81943422,https://www.redfin.com/CA/San-Jose/2033-Woodglen-Dr-95130/home/2122032
MLS Listing,Single Family Residential,1290 Hoffman Ln,Santa Clara,Campbell,CA,95008,1299950,3.0,1.0,CAMPBELL,1005.0,2.0,1293.0,Active,https://www.redfin.com/CA/Campbell/1290-Hoffman-Ln-95008/home/1727555,MLSListings,ML81943390,N,Y,37.2680933,-121.9454734,8.0,1293.0,9191.0,86.0,Very bikeable,56.0,Somewhat walkable,"Places2 groceries, 21 restaurants, 3 parksTransit26, 27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943390,https://www.redfin.com/CA/Campbell/1290-Hoffman-Ln-95008/home/1727555
MLS Listing,Single Family Residential,629 Union Ave,Santa Clara,Campbell,CA,95008,1249000,3.0,2.5,CAMPBELL,1318.0,3.0,948.0,Active,https://www.redfin.com/CA/Campbell/629-Union-Ave-95008/home/701539,MLSListings,ML81943339,N,Y,37.2780406,-121.9365028,8.0,948.0,9041.0,84.0,Very bikeable,71.0,Very walkable,"Places3 groceries, 26 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 27, 2023",Listed (Active)MLSListings #ML81943339,https://www.redfin.com/CA/Campbell/629-Union-Ave-95008/home/701539
MLS Listing,Single Family Residential,1361 El Moro Dr,Santa Clara,Campbell,CA,95008,2378000,3.0,3.0,CAMPBELL,1805.0,3.0,1317.0,Active,https://www.redfin.com/CA/Campbell/1361-El-Moro-Dr-95008/home/1085730,MLSListings,ML81942859,N,Y,37.2844254,-121.9249778,8.0,1317.0,16814.0,53.0,Bikeable,53.0,Somewhat walkable,"Places4 groceries, 27 restaurants, 0 parksTransit26, 56, 61, 64B, Event Green, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 27, 2023",Listed (Active)MLSListings #ML81942859,https://www.redfin.com/CA/Campbell/1361-El-Moro-Dr-95008/home/1085730
MLS Listing,Townhouse,490 W Sunnyoaks Ave Unit B,Santa Clara,Campbell,CA,95008,1290000,3.0,2.5,CAMPBELL,1759.0,3.0,733.0,Active,https://www.redfin.com/CA/Campbell/490-W-Sunnyoaks-Ave-95008/unit-B/home/569693,MLSListings,ML81943271,N,Y,37.2717343,-121.9586426,8.0,733.0,9651.0,64.0,Bikeable,49.0,Car-dependent,"Places4 groceries, 17 restaurants, 6 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 27, 2023",Listed (Active)MLSListings #ML81943271,https://www.redfin.com/CA/Campbell/490-W-Sunnyoaks-Ave-95008/unit-B/home/569693
MLS Listing,Single Family Residential,1911 Dry Creek Rd,Santa Clara,Campbell,CA,95008,2399000,4.0,2.5,CAMPBELL,2194.0,4.0,1093.0,Active,https://www.redfin.com/CA/San-Jose/1911-Dry-Creek-Rd-95124/home/549896,MLSListings,ML81943212,N,Y,37.281244,-121.928977,8.0,1093.0,16962.0,71.0,Very bikeable,72.0,Very walkable,"Places3 groceries, 25 restaurants, 1 parkTransit26, 27, 37, 56, 60, 61, 64B, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 26, 2023",Listed (Active)MLSListings #ML81943212,https://www.redfin.com/CA/San-Jose/1911-Dry-Creek-Rd-95124/home/549896
MLS Listing,Single Family Residential,4033 Valerie Dr,Santa Clara,Campbell,CA,95008,1838888,4.0,2.0,CAMPBELL,1782.0,8.0,1032.0,Active,https://www.redfin.com/CA/Campbell/4033-Valerie-Dr-95008/home/1231277,MLSListings,ML81942930,N,Y,37.279872,-121.9725967,8.0,1032.0,13002.0,49.0,Somewhat bikeable,34.0,Car-dependent,"Places3 groceries, 22 restaurants, 5 parksTransit26, 27, 37, 56, 57, 60, Express 101","Sep 22, 2023",Listed (Active)MLSListings #ML81942930,https://www.redfin.com/CA/Campbell/4033-Valerie-Dr-95008/home/1231277
MLS Listing,Multi-Family (5+ Unit),1143 Smith Ave,Santa Clara,Campbell,CA,95008,3799000,18.0,12.0,CAMPBELL,6900.0,8.0,551.0,Active,https://www.redfin.com/CA/Campbell/1143-Smith-Ave-95008/home/1740816,MLSListings,ML81942881,N,Y,37.2747834,-121.9691954,8.0,551.0,26861.0,50.0,Bikeable,20.0,Car-dependent,"Places3 groceries, 19 restaurants, 5 parksTransit26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 22, 2023",Listed (Active)MLSListings #ML81942881,https://www.redfin.com/CA/Campbell/1143-Smith-Ave-95008/home/1740816
MLS Listing,Single Family Residential,1235 Paula Dr,Santa Clara,Campbell,CA,95008,1949000,4.0,2.5,CAMPBELL,1784.0,9.0,1092.0,Active,https://www.redfin.com/CA/Campbell/1235-Paula-Dr-95008/home/1754368,MLSListings,ML81941358,N,Y,37.2898345,-121.9717723,8.0,1092.0,13781.0,72.0,Very bikeable,39.0,Car-dependent,"Places5 groceries, 28 restaurants, 2 parksTransit25, 26, 27, 37, 56, 57, 60, Express 101","Sep 21, 2023",Listed (Active)MLSListings #ML81941358,https://www.redfin.com/CA/Campbell/1235-Paula-Dr-95008/home/1754368
MLS Listing,Condo/Co-op,2859 S Bascom Ave #305,Santa Clara,Campbell,CA,95008,695000,2.0,2.0,CAMPBELL,841.0,9.0,826.0,Active,https://www.redfin.com/CA/Campbell/2859-S-Bascom-Ave-95008/unit-305/home/827203,MLSListings,ML81942719,N,Y,37.270718,-121.9379914,8.0,826.0,5394.0,77.0,Very bikeable,82.0,Very walkable,"Places2 groceries, 32 restaurants, 0 parksTransit26, 27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 21, 2023",Listed (Active)MLSListings #ML81942719,https://www.redfin.com/CA/Campbell/2859-S-Bascom-Ave-95008/unit-305/home/827203
MLS Listing,Single Family Residential,3900 Middletown Ct,Santa Clara,Campbell,CA,95008,1499000,3.0,2.0,CAMPBELL,1261.0,10.0,1189.0,Active,https://www.redfin.com/CA/San-Jose/3900-Middletown-Ct-95130/home/1701483,MLSListings,ML81942608,N,Y,37.277631,-121.969524,8.0,1189.0,10599.0,45.0,Somewhat bikeable,17.0,Car-dependent,"Places3 groceries, 18 restaurants, 5 parksTransit26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 20, 2023",Listed (Active)MLSListings #ML81942608,https://www.redfin.com/CA/San-Jose/3900-Middletown-Ct-95130/home/1701483
