PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Redwood City,94063,999950,3.0,1.0,1200.0,,3.0,6.0,833.0,1000481.0,7070.0,999950.0,,
Multi-Family (2-4 Unit),Redwood City,94063,1398000,3.0,2.0,1730.0,3.0,,6.0,808.0,1416873.0,9885.0,1398000.0,,610000.0
Multi-Family (2-4 Unit),Redwood City,94061,1840000,5.0,3.0,2733.0,3.0,,6.0,673.0,1835963.0,13010.0,1840000.0,,
Single Family Residential,Redwood City,94061,2089000,3.0,3.0,1991.0,,,6.0,1049.0,2087379.0,14771.0,2089000.0,,
Single Family Residential,Woodside,94062,1725000,4.0,2.0,2040.0,,,,846.0,1726717.0,12197.0,1725000.0,,
Single Family Residential,Redwood City,94063,1775000,4.0,3.0,1810.0,,3.0,6.0,981.0,1770730.0,12550.0,1775000.0,,
Single Family Residential,Redwood Shores,94065,3096900,4.0,3.0,2890.0,7.0,9.0,9.0,1072.0,3108032.0,22247.0,3096900.0,,
Single Family Residential,Redwood City,94065,2850000,4.0,3.5,2310.0,7.0,9.0,9.0,1234.0,3126220.0,20451.0,2850000.0,,1850000.0
Single Family Residential,Redwood City,94061,2600000,4.0,2.5,2660.0,3.0,,6.0,977.0,,18384.0,2600000.0,,
Single Family Residential,Redwood City,94061,1880000,4.0,2.0,1460.0,,,6.0,1288.0,1913232.0,13293.0,1880000.0,,
Single Family Residential,Redwood City,94062,3295000,4.0,3.0,2704.0,,3.0,6.0,1219.0,,23298.0,3295000.0,,2198000.0
Townhouse,Redwood City,94065,1199000,2.0,2.5,1424.0,7.0,9.0,9.0,842.0,1294547.0,9151.0,1199000.0,,
Condo/Co-op,Redwood City,94062,798000,2.0,2.0,1060.0,,3.0,6.0,753.0,809161.0,6272.0,798000.0,,
Single Family Residential,Redwood City,94063,1309000,3.0,2.5,1368.0,3.0,,6.0,957.0,1316631.0,9255.0,1309000.0,,489999.0
Multi-Family (5+ Unit),Redwood City,94061,5380000,26.0,16.0,15410.0,,,6.0,349.0,,38040.0,5380000.0,,1800000.0
Single Family Residential,Redwood City,94063,899000,3.0,2.0,1090.0,,,6.0,825.0,,6356.0,899000.0,,
Single Family Residential,Redwood City,94062,4170000,4.0,4.0,3790.0,,,6.0,1100.0,4177485.0,29484.0,4170000.0,1770000.0,
Single Family Residential,Redwood City,94063,1199000,3.0,2.0,1230.0,,,6.0,975.0,1198749.0,8478.0,1199000.0,,599000.0
Multi-Family (2-4 Unit),Redwood City,94063,1500000,7.0,4.0,2650.0,3.0,,6.0,566.0,1510099.0,10606.0,1500000.0,,499950.0
Single Family Residential,Redwood City,94061,4895000,5.0,5.5,3432.0,3.0,,6.0,1426.0,4881277.0,34611.0,4895000.0,,3695000.0
Single Family Residential,Redwood City,94061,1798000,3.0,2.0,1720.0,3.0,,6.0,1045.0,1889030.0,12713.0,1798000.0,,
Single Family Residential,Woodside,94062,3000000,3.0,2.0,1460.0,,,6.0,2055.0,2977182.0,21212.0,3000000.0,,
Single Family Residential,Redwood City,94061,4250000,4.0,4.5,3451.0,3.0,,6.0,1232.0,4223673.0,30050.0,4250000.0,,
Single Family Residential,San Carlos,94070,2650000,4.0,2.5,2490.0,,,6.0,1064.0,2666116.0,18737.0,2650000.0,,1479500.0
Single Family Residential,Redwood City,94061,1388000,2.0,1.0,1010.0,3.0,,6.0,1374.0,,9814.0,1388000.0,,1288000.0
Single Family Residential,Redwood City,94061,998000,2.0,1.0,770.0,3.0,,6.0,1296.0,1090232.0,7056.0,998000.0,,
Multi-Family (2-4 Unit),Redwood City,94063,1349000,3.0,3.0,2569.0,3.0,,6.0,525.0,1347654.0,9538.0,1349000.0,,
Single Family Residential,San Carlos,94070,2099000,3.0,2.5,1640.0,,,6.0,1280.0,2133378.0,14841.0,2099000.0,,
Single Family Residential,Redwood City,94062,2195000,4.0,3.5,2880.0,,,6.0,762.0,,15520.0,2195000.0,,
Single Family Residential,Redwood City,94062,4465000,4.0,4.0,3499.0,,3.0,6.0,1276.0,4441590.0,31570.0,4465000.0,,1849000.0
Townhouse,Redwood City,94062,1598000,3.0,3.5,2045.0,,3.0,6.0,781.0,1596568.0,11699.0,1598000.0,,
Townhouse,Redwood City,94061,2990000,3.0,3.5,2800.0,,,6.0,1068.0,3034786.0,22091.0,2990000.0,,2495000.0
Vacant Land,Redwood City,94062,1750000,,,,,,6.0,,1732984.0,12374.0,1750000.0,,
Single Family Residential,Redwood City,94062,2198000,3.0,2.0,2210.0,,,6.0,995.0,2217024.0,15541.0,2198000.0,,
Single Family Residential,Redwood City,94061,1998000,3.0,2.0,2289.0,3.0,,6.0,873.0,2008925.0,14127.0,1998000.0,,
Single Family Residential,Redwood City,94061,2095000,3.0,2.0,1459.0,3.0,,6.0,1436.0,2103498.0,14813.0,2095000.0,,
Multi-Family (2-4 Unit),Redwood City,94061,1750000,4.0,2.0,2510.0,,,6.0,697.0,,12374.0,1750000.0,,850000.0
Single Family Residential,Redwood City,94062,1998000,3.0,2.0,2050.0,,,6.0,975.0,2050593.0,14127.0,1998000.0,,1829000.0
Multi-Family (2-4 Unit),Redwood City,94063,1850000,6.0,4.0,3478.0,,,6.0,532.0,1840767.0,13081.0,1850000.0,1050000.0,
Condo/Co-op,Redwood City,94065,799000,1.0,1.5,927.0,7.0,9.0,9.0,862.0,797835.0,6271.0,799000.0,,
Single Family Residential,Redwood City,94062,2495000,3.0,2.5,1850.0,,3.0,6.0,1349.0,2508002.0,17641.0,2495000.0,,
Single Family Residential,Redwood City,94062,3850000,5.0,3.5,3401.0,,,6.0,1132.0,3865969.0,27222.0,3850000.0,,
Single Family Residential,Redwood City,94063,1250000,2.0,2.0,1305.0,3.0,,6.0,958.0,1303149.0,8838.0,1250000.0,,
Single Family Residential,Redwood City,94062,2398000,4.0,2.5,2308.0,,3.0,6.0,1039.0,,16955.0,2398000.0,,479000.0
